text,author,reply,retweet,like,date
"Apel Gelar Pergeseran Pasukan ke TPS Pemilu 2024 yang dilaksanakan lapangan stadion gajayana malang Jalan Tangkuban Perahu, pada Selasa (13/2/2024) pagi. Pelaksanaan Apel yang dipimpin oleh Pj. Walikota Malang Dr. Ir. Wahyu Hidayat, M.M., ini diri lengkap oleh jajaran Forkopimda",0,0,0,0,2024-02-15T16:02:30.000Z
"dlm perjalanan politiknya, Ganjar-Mahfud telah menginspirasi banyak org buat trs berjuang demi kebaikan bersama 
@kornelius_adde
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T16:24:06.000Z
"dngn energi positif dari para pendukungnya, Ganjar-Mahfud makin percaya diri buat mewujudkan janji-janjinya kepada rakyat Indonesia 
@juventusfc
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:36:05.000Z
"Semoga suatu hari nanti Ganjar-Mahfud bisa menjd presiden, krna negara ini butuh pemimpin seperti beliau 
@KangAzzev
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:36:33.000Z
"Bersama-sama dngn Ganjar-Mahfud, mari kita wujudkan Indonesia yg lebih maju, adil, dan berkeadilan 
@Junius_FSE
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:48:08.000Z
"Bangga bngt jd pendukung Ganjar-Mahfud mrka adlh pemimpin yg mau mendengarkan suara rakyatnya dan berjuang buat kepentingan bersama 
@KaneroSimanull5
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:44:50.000Z
"Keputusan Rasmi #Pemilu2024 
Setakat 00:10 untuk Tawau, Sabah :

Progres : 21%

Calon #01 Anies Baswedan : 311 undi
Calon #02 Prabowo Gibran : 1.451 undi
Calon #03 Ganjar Pranowo : 160 undi",0,0,0,0,2024-02-15T16:11:42.000Z
Didalam PKS aja ada 2 faksi besar : Faksi keadilan & Faksi Kesejahteraan. Ujungnya Pecah kongsi & Pemilu 2024 membenarkan Tesis + disertasi bahwa politik identitas dinegara ini Tak akan pernah menjadi Juara di parlemen dan Pemilihan Presiden. Umat hanya dijadikan BANCAKAN PARTAI,0,0,0,0,2024-02-15T15:15:01.000Z
"Ida Bhawati Hermawan ketua Pasraman Pinandita Brahma Vidya Samgraha Kab.Buleleng, mengajak warga Buleleng untuk bersama- sama menjaga sit Kondusif pasca pemilu 2024 di Kab Buleleng",0,0,0,0,2024-02-15T15:21:25.000Z
"Dukungan saya buat Ganjar-Mahfud nggak ada duanya mrka berdua org hebat yg bisa bawa perubahan positif 
@KrisLanggeng
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T16:10:06.000Z
"Pendukung setia Ganjar-Mahfud tetap berdiri teguh di belakang mrka, siap mendukung langkah-langkah besar ke dpnnya 
@Kartawir
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:45:37.000Z
"ngetiknya jangan sambil nangis bang wakakakak
#Pemilu #Pemilu2024 #PrabowoGibran2024",0,0,0,1,2024-02-15T15:11:32.000Z
"Ida Bhawati Hermawan ketua Pasraman Pinandita Brahma Vidya Samgraha Kab.Buleleng, mengajak warga Buleleng untuk bersama- sama menjaga sit Kondusif pasca pemilu 2024 di Kab Buleleng",0,0,0,0,2024-02-15T15:58:39.000Z
"Ini jadinya ... Indonesia kawal pemilu ... Apa tetep wakanda gara - gara aplikasi ***  ... 
#Pemilu2024 #Pemilu #IndonesiaMemilih #IndonesiaElection",0,0,0,0,2024-02-15T15:57:55.000Z
"Nggak ada kata menyerah buat pendukung setia seperti kita trslah mendukung perjuangan Ganjar-Mahfud 
@Kangdisen31
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:41:20.000Z
"Dukungan kita kepada Ganjar-Mahfud adlh investasi jangka panjang buat masa dpn bangsa ini mrka akan membawa perubahan positif yg berkelanjutan 
@kamidut
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:42:38.000Z
"Sukses selalu buat paket pemenang hati rakyat, Ganjar-Mahfud 
@KenzMoria
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:10:06.000Z
"Pendukung setia Ganjar-Mahfud tau klo mrka adlh pemimpin yg memiliki kemampuan luar biasa dlm mengelola sumber daya negara 
@kadrisp
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T16:03:41.000Z
"Alhamdulillah Pemilu 2024 Berjalan Lancar 


@mathlaul
 #khembaymulyasyarief  #tolakintoleransi #PemiluDamai #jjk251",0,0,0,0,2024-02-15T15:30:01.000Z
"Bersama-sama, kita bisa membangun negeri ini menjd lebih baik dngn dukungan kepada Ganjar-Mahfud 
@kidnapfure
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:08:21.000Z
#Pemilu2024,0,0,0,0,2024-02-15T16:02:29.000Z
"Yes. Refleksi Pemilu 2024 bagi saya pribadi adalah pentingnya melek politik. Sudah bisa memilih/nyoblos berarti bertanggung jawab kepada negara; ikut menentukan mau dibagaimanakan negeri ini.

Ignorance atau keabaian diri bisa menyakiti diri sendiri dan sesama.",0,0,0,0,2024-02-15T16:05:24.000Z
"Walaupun belum berhasil di pilpres 2024, dukungan kita buat Ganjar-Mahfud nggak akan prnh pudar 
@KarasakalN2724
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:47:10.000Z
"Kapolsek Enggano AKP BAYU HERI P. http://SH.MH bersama unsur Tripika Kec. Enggano melaksanakan kegiatan monitoring  Pendistribusian Logistik Pemilu 2024 ke PPS - PPS di wilayah Kecamatan Enggano
@divisihumaspolri 
@polda_bengkulu 
@kapolres_bengkuluutara",0,0,0,0,2024-02-15T15:43:33.000Z
"Ganjar-Mahfud, keduanya punya visi yg luar biasa buat kemajuan bangsa Kita siap dukung sampai akhir 
@KarasuluAl74386
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,1,2024-02-15T15:53:13.000Z
"Bangga bngt jd pendukung Ganjar-Mahfud, meski belum jd presiden dan wapres Semangat trs 
@keyshaamira_
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:12:18.000Z
"Mari bersama-sama membangun Indonesia yg lebih adil dan sejahtera dngn Ganjar-Mahfud 
@KennyNguye64481
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:11:36.000Z
"Selamat trs berjuang, pak Ganjar dan pak Mahfud Kami yakin sukses akan selalu menyertai langkah-langkah politik kalian 
@kliwonmeng
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:08:33.000Z
"Horas ini Medan bung bukan Madura. Kejadian di bandar selamat medan. Warga tidak boleh masuk melihat penghitungan suara
#malamjumat #Pemilu2024",0,0,0,2,2024-02-15T16:06:32.000Z
"trending di #malamjumat berkah

Prabowo
#Pemilu2024
KPPS
Uhuy

buat umat Islam semua..., 
mungkin PS+GR bisa dibilang MENDING ya..
drpd AB atau GP yg menang.

ya pikir aja.. mending mana...;
jadi ""JONGOS"" RRT..
atau..
jadi ""HEWAN TERNAK"" USAEURO..??",0,0,0,0,2024-02-15T16:25:22.000Z
"Cek TRANSLUCENT GEL COLOR ELEANOR 15ml dengan harga Rp63.000. Dapatkan di Shopee sekarang! https://shope.ee/9A0OE0bEmI?share_channel_code=7
Prabowo #malamjumat SIAPA SANGKA #Pemilu2024 Nyoblos",0,0,0,0,2024-02-15T15:43:49.000Z
#jjk251 #ValentinesDay #Pemilu2024 #design,0,0,0,0,2024-02-15T15:21:15.000Z
"Bangga bngt jd pendukung Ganjar-Mahfud mrka punya visi jelas buat bangsa ini, semoga bisa terwujud suatu hari nanti 
@kuntodeworanger
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T16:16:26.000Z
"""Berdasarkan data BPS hasil long form Sensus Penduduk 2020 yang dilaksanakan pada 2022 diketahui bahwa pemilih potensial Pemilu 2024 didominasi oleh mereka yang berpendidikan rendah.

Hampir 60 persen pemilih berpendidikan maksimal SMP. Hanya 6,8 persen calon pemilih",1,1,3,6,2024-02-15T15:18:12.000Z
"Kita dukung Ganjar-Mahfud krna mrka adlh harapan baru buat masa dpn Indonesia yg lebih baik 
@katonprawoto
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:36:21.000Z
"Selalu mendukung Ganjar-Mahfud krna mrka adlh pemimpin yg berintegritas dan peduli pada rakyat 
@kucingberbahaya
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,1,2024-02-15T16:24:00.000Z
"Today is the day!
Ao Nawak Ngalam, Sukseskan Pemilu Damai 2024 #SukseskanPelaksanaanPemilu Dino iki kerr!

Ayo Nyoblos dengan datang ke TPS yang sudah ditentukan untuk menggunakan hak pilih suaramu karena 1 suara berperan penting dalam menyukseskan Pemilu 2024",0,0,0,0,2024-02-15T16:16:12.000Z
"Dukungan kami buat Ganjar-Mahfud adlh bentuk nyata klo perubahan positif bisa dimulai dari diri kita sendiri 
@jumiyarya
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:39:20.000Z
"Dukungan kami buat Pak Ganjar dan Pak Mahfud nggak ada batasnya Kita yakin mrka bisa membawa perubahan yg positif buat negeri ini 
@KatrokSakura
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T15:37:56.000Z
Warga Manado curiga pemindahan kotak suara Pemilu 2024 ke Graha Gubernuran Sulawesi Utara berhubungan dengan upaya mengubah hasil rekapitulasi perolehan suara DPR RI. #publisherstory #manadobacirita,2,2,27,29,2024-02-15T16:16:06.000Z
Kesiapan Pasukan Pengamanan Pemilu 2024 di Silang Monas: Pangkostrad dan Panglima TNI Cek Langsung,0,0,0,0,2024-02-15T16:25:56.000Z
"Hanya jadi anggota
#Pemilu2024",0,0,0,1,2024-02-15T15:18:46.000Z
"Pemilu 2024 Partai 
@hanura_official
 di pimpin OSO semakin TERJUN BEBAS menjadi partai 0 koma.",0,0,0,0,2024-02-15T16:25:01.000Z
"Mari bersama-sama mewujudkan cita-cita luhur Indonesia dngn mendukung perjuangan Ganjar-Mahfud 
@Kretek49797195
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T16:17:33.000Z
"Bangga bngt jd pendukung Ganjar-Mahfud, mrka emang keren dan penuh dedikasi 
@KuatNkri
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,0,2024-02-15T16:18:18.000Z
"Selalu mendukung Ganjar-Mahfud krna mrka punya visi yg jelas buat membangun negeri ini lebih baik 
@KomangSuastik16
 
#Pemilu2024
Ganjar |
RIP Demokrasi
",0,0,0,1,2024-02-15T16:19:23.000Z
