text,author,reply,retweet,like,date
"Ayo nyoblos ke TPS tanggal 14 Februari 2024

#AyoSiapSiapNyoblos",andra___,0,0,0,2024-02-12T13:11:45.000Z
"Ayok ciptakan suasana yang aman dan damai.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:14:44.000Z
"Jadi jangan sampe golput.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:30:39.000Z
"tanggal 14 Februari sebagai hari bersejarah dimana masa depan bangsa akan dimulai. 
#AyoSiapSiapNyoblos",andra___,0,0,0,2024-02-12T13:11:39.000Z
"Jadi pahlawan demokrasi ayok datang ke TPS.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:18:20.000Z
"Pemasangan spandukayo nyoblosini mewujudkan Pemilu yang aman, damai, dan kondusif di Kota Pekabaru yang kita cintai ini,"" kata Jeki.

#AyoSiapSiapNyoblos",Rasa Yang Ada,1,3,2,2024-02-12T13:14:59.000Z
"dengan datang ke TPS demi meraih Indonesia yang lebih baik

#AyoSiapSiapNyoblos",andra___,0,0,0,2024-02-12T13:11:23.000Z
"Pemilu 2024 dapat berjalan dengan lancar dan sukses.

#AyoSiapSiapNyoblos",andra___,0,0,0,2024-02-12T13:11:17.000Z
"#AyoSiapSiapNyoblos

Kenali surat suara yang ada, 5 pilihan dan pilih sesuai pilihan hati nurani!!!",Yuli Endah,1,6,5,2024-02-12T13:31:06.000Z
"Polresta Pekanbaru terus menciptakan suasana yang aman dan damai
#AyoSiapSiapNyoblos",andra___,0,0,0,2024-02-12T13:10:49.000Z
"Kelompok Penyelenggaran Pemungutan Suara (KPPS) akan membagikan form C pemberitahuan paling lambat tiga hari sebelum Hari Pemungutan Suara

#AyoSiapSiapNyoblos
https://sulbar.tribunnews.com/2024/02/09/ayo-memilih-14-februari-2024-simak-yang-perlu-dibawa-ke-tps",Yuli Endah,1,6,5,2024-02-12T13:18:10.000Z
"Dengan kerja sama semua pihak, pemilu diharapkan berjalan aman dan damai. 
#AyoSiapSiapNyoblos",Abba ,3,8,7,2024-02-12T13:14:36.000Z
"Melalui penggunaan warna yg berbeda, KPU ingin memudahkan pemilih dlm membedakan suara suara utk setiap jabatan / lembaga publik, sekaligus menjadi simbol keberagaman demokrasi di Indonesia, di mana setiap warna mewakili suara & aspirasi yg berbeda dr msyrkt 
#AyoSiapSiapNyoblos",Yuli Endah,1,6,5,2024-02-12T13:14:44.000Z
"Kenali surat suara pemilu 2024.

#AyoSiapSiapNyoblos",N E Y A V A,0,0,0,2024-02-12T13:26:27.000Z
"Ayo nyoblos ke TPS tanggal 14 Februari 2024

#AyoSiapSiapNyoblos",andra___,0,0,0,2024-02-12T13:11:00.000Z
